1,the,1236,53
2,the,1236,42
3,the,1236,44
4,that,242,38
5,there,69,45
6,chapter,52,30
7,chapter,52,26
8,business,45,15
9,gentleman,25,12
10,passengers,14,11
11,blunderbuss,4,9
12,confidential,4,10
13,establishment,3,10
14,communications,2,10
