1,the,5953,166
2,the,5953,212
3,the,5953,253
4,that,1378,214
5,there,396,130
6,defarge,219,133
7,defarge,219,116
8,business,120,113
9,monseigneur,108,111
10,monseigneur,108,135
11,monseigneur,108,102
12,circumstances,15,67
13,circumstances,15,77
14,affectionately,3,91
